Category,Item,Variant / Protein Option,Serving,PRICE,Ingredients (Detailed Grams per Serving),Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g),Sodium (mg),Description,Modifier Group 1 (Spice Level / Options),Modifier Group 2 (Sides Choice),Add-On Options
Chicken,Grilled Chicken,,150g,25,"Chicken Breast (120g), Olive Oil (5g), Salt (1g), Black Pepper (1g), Garlic Powder (1g), Paprika (1g), Lemon Juice (5g)",0,0,0,0,0,0,Tender grilled chicken breast seasoned and grilled to perfection,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Chicken Mushroom,,150g,30,"Chicken Breast (100g), Mushroom Sauce (50g: Heavy Cream 20g, Mushrooms 15g, Chicken Stock 10g, Flour 3g, Salt 1g, Pepper 1g)",0,0,0,0,0,0,Tender chicken breast with creamy mushroom sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Chicken Tomato,,150g,25,"Chicken Breast (105g), Tomato Sauce (45g: Crushed Tomatoes 30g, Tomato Paste 5g, Olive Oil 3g, Garlic 2g, Onion 3g, Salt 1g, Oregano 1g)",0,0,0,0,0,0,Tender chicken breast in a rich tomato sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Teriyaki Chicken,,150g,25,"Chicken Breast (105g), Teriyaki Sauce (45g: Soy Sauce 15g, Mirin 10g, Sake 10g, Sugar 5g, Cornstarch 2g, Ginger 2g, Garlic 1g)",0,0,0,0,0,0,Tender chicken breast glazed with sweet and savory teriyaki sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Dynamite Chicken,,150g,30,"Chicken Breast (90g), Dynamite Sauce (60g: Mayonnaise 30g, Sriracha 10g, Sugar 5g, Rice Vinegar 5g, Garlic Powder 2g, Paprika 1g, Water 7g)",0,0,0,0,0,0,Crispy tender chicken tossed in creamy dynamite sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Buffalo Chicken,,150g,30,"Chicken Breast (105g), Buffalo Sauce (45g: Frank's RedHot Sauce 30g, Butter 10g, Vinegar 3g, Garlic Powder 1g, Salt 1g)",0,0,0,0,0,0,Tender chicken coated in tangy buffalo sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Barbecue Chicken,,150g,25,"Chicken Breast (105g), BBQ Sauce (45g: Ketchup 15g, Brown Sugar 10g, Vinegar 8g, Worcestershire 5g, Smoked Paprika 3g, Garlic 2g, Onion Powder 2g)",0,0,0,0,0,0,Tender chicken glazed with smoky barbecue sauce,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Chicken Fajita,,150g,25,"Chicken Breast (90g), Bell Peppers (20g: Green & Red), Onions (15g), Olive Oil (5g), Fajita Seasoning (5g: Chili, Cumin, Paprika, Garlic), Salt (1g), Lime Juice (4g)",0,0,0,0,0,0,Tender chicken sautéed with colorful peppers and fajita seasoning,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Chicken Kabab,,150g,30,"Ground Chicken (115g), Onion (15g), Parsley (5g), Cumin (2g), Coriander (2g), Garlic (2g), Salt (1g), Black Pepper (1g), Olive Oil (7g)",0,0,0,0,0,0,Juicy seasoned chicken kebab grilled to perfection,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
Chicken,Chicken Kofta,,150g,30,"Ground Chicken (110g), Breadcrumbs (10g), Onion (15g), Parsley (5g), Cumin (2g), Coriander (2g), Garlic (2g), Salt (1g), Cinnamon (1g), Olive Oil (7g)",0,0,0,0,0,0,Seasoned chicken kofta grilled with aromatic herbs and spices,Spicy / Non-Spicy,"White Rice, Brown Rice, Red Rice, Yellow Rice, Beetroot Rice, French Fries, Mashed Potato, Grilled Potato, Sweet Potato, Cooked Vegetable, Cooked Quinoa",Next Page
